runner,season,timeofday,distance,avghr,maxhr,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course
Adam,SPRING,AFTERNOON,3.36,162,180,200,6.593406593,8.91,126,269,-143,DOWNHILL
Adam,SPRING,MORNING,3.1,163,187,184,6.741573034,12.16,45,128,-83,DOWNHILL
Adam,SPRING,NIGHT,4.75,157,187,186,5.714285714,11.54,168,251,-83,DOWNHILL
Adam,SPRING,NIGHT,3.1,165,188,184,7.2,15.32,85,164,-79,DOWNHILL
Adam,SPRING,EVENING,6,155,178,188,6.728971963,10,147,229,-82,DOWNHILL
Adam,SPRING,MORNING,8,162,185,184,5.607476636,11.73,150,143,7,FLAT
Adam,SPRING,EVENING,4.61,155,177,176,6.164383562,10.65,127,189,-62,DOWNHILL
Adam,SPRING,EVENING,3.1,144,162,210,6.71641791,14.17,32,128,-96,DOWNHILL
Adam,SPRING,EVENING,3.11,151,177,176,6.428571429,9.42,47,131,-84,DOWNHILL
Adam,WINTER,AFTERNOON,5,170,184,182,7.243460765,11.65,154,247,-93,DOWNHILL
Adam,WINTER,EVENING,5.01,147,182,180,7.2,10.94,111,188,-77,DOWNHILL
Adam,WINTER,EVENING,3.35,156,167,176,6.629834254,9.18,67,163,-96,DOWNHILL
Adam,WINTER,EVENING,3.11,160,184,186,7.982261641,12.63,68,209,-141,DOWNHILL
Adam,WINTER,EVENING,3,141,173,196,5.930807249,16.36,91,155,-64,DOWNHILL
Adam,WINTER,MORNING,3.1,152,176,172,7.37704918,9.47,62,155,-93,DOWNHILL
Adam,WINTER,EVENING,3.1,155,184,184,8.017817372,11.73,83,159,-76,DOWNHILL
Adam,WINTER,AFTERNOON,3.1,153,178,186,7.114624506,13.58,83,161,-78,DOWNHILL
Adam,WINTER,EVENING,3.1,148,175,200,7.258064516,11.39,42,133,-91,DOWNHILL
Adam,WINTER,EVENING,3.11,143,173,190,7.214428858,13.95,50,133,-83,DOWNHILL
Adam,WINTER,AFTERNOON,5,144,165,178,5.778491172,10.81,62,118,-56,DOWNHILL
Adam,WINTER,EVENING,5.38,157,177,180,7.086614173,12.2,137,260,-123,DOWNHILL
Adam,WINTER,EVENING,5.16,160,175,244,7.058823529,12.77,156,276,-120,DOWNHILL
Adam,WINTER,EVENING,7.01,157,187,182,6.569343066,10.68,188,274,-86,DOWNHILL
Adam,WINTER,EVENING,3.59,148,169,184,6.349206349,13.64,38,128,-90,DOWNHILL
Adam,WINTER,AFTERNOON,3,154,182,186,6.050420168,11.46,72,163,-91,DOWNHILL
Adam,WINTER,MORNING,5,166,179,174,6.593406593,14.69,144,222,-78,DOWNHILL
Adam,WINTER,EVENING,1.89,159,185,198,6.206896552,12.59,51,54,-3,FLAT
Leah,WINTER,MORNING,20.04,156,186,245,4.472049689,6.95,"2,694","2,589",105,UPHILL
Leah,WINTER,MORNING,15.06,156,185,234,4.57433291,7.16,"2,018","2,031",-13,FLAT
Leah,WINTER,MORNING,14.01,150,182,246,4.181184669,7.76,"1,985","1,893",92,UPHILL
Leah,WINTER,MORNING,13.1,150,184,238,4.609475032,7.03,"1,768","1,729",39,UPHILL
Leah,WINTER,EVENING,10.19,165,191,175,6.338028169,7.68,295,397,-102,DOWNHILL
Leah,WINTER,AFTERNOON,10.11,153,184,242,4.57433291,7.02,"1,401","1,460",-59,DOWNHILL
Leah,WINTER,AFTERNOON,10.01,163,195,241,5.187319885,7.47,"1,332","1,355",-23,DOWNHILL
Leah,WINTER,AFTERNOON,9.51,159,190,249,4.705882353,7.76,"1,329","1,309",20,UPHILL
Leah,WINTER,EVENING,9.19,165,180,178,6.440071556,8.09,282,354,-72,DOWNHILL
Leah,AUTUMN,MORNING,8.18,168,186,176,6.12244898,8.45,285,344,-59,DOWNHILL
Leah,WINTER,AFTERNOON,8.09,156,182,176,5.487804878,7.02,781,876,-95,DOWNHILL
Leah,WINTER,MORNING,8.06,167,192,216,5.405405405,7.56,860,850,10,FLAT
Leah,WINTER,AFTERNOON,8.01,139,187,247,3.995560488,7.44,"1,385","1,394",-9,FLAT
Leah,SPRING,AFTERNOON,7.75,115,165,250,3.022670025,8,"1,444","1,132",312,UPHILL
Leah,WINTER,AFTERNOON,7.4,126,168,249,3.777544596,6.87,"1,050","1,053",-3,FLAT
Leah,WINTER,EVENING,7.13,168,185,175,6.642066421,8.26,135,256,-121,DOWNHILL
Leah,WINTER,EVENING,7.01,167,182,174,6.206896552,7.5,177,318,-141,DOWNHILL
Leah,SPRING,AFTERNOON,6.78,164,187,237,5.325443787,7.26,784,784,0,FLAT
Leah,SPRING,EVENING,6.63,168,188,176,6.79245283,8.22,157,308,-151,DOWNHILL
Leah,WINTER,AFTERNOON,6.62,157,189,247,5.278592375,6.98,741,735,6,FLAT
Leah,WINTER,MORNING,6.5,168,185,178,6.349206349,7.79,184,292,-108,DOWNHILL
Leah,SPRING,MORNING,6.34,176,186,179,6.71641791,8.65,151,75,76,UPHILL
Leah,WINTER,EVENING,6.22,167,181,176,6.463195691,7.64,144,243,-99,DOWNHILL
Leah,WINTER,EVENING,6.21,167,184,239,6.417112299,7.95,177,272,-95,DOWNHILL
Leah,SPRING,MORNING,6.21,168,183,174,6.557377049,8.07,164,295,-131,DOWNHILL
Leah,AUTUMN,EVENING,6.17,171,185,176,6.557377049,8.16,138,249,-111,DOWNHILL
Leah,WINTER,EVENING,6.15,170,183,177,6.617647059,7.89,171,269,-98,DOWNHILL
Leah,WINTER,AFTERNOON,6.1,163,184,183,5.513016845,7.56,614,577,37,UPHILL
Leah,WINTER,AFTERNOON,6.1,152,183,231,4.986149584,8.02,810,801,9,FLAT
Leah,WINTER,EVENING,6.07,164,179,174,6.474820144,7.83,151,249,-98,DOWNHILL
Leah,SPRING,EVENING,5.39,131,171,248,4.063205418,6.74,522,551,-29,DOWNHILL
Leah,SPRING,MORNING,5.26,178,185,176,6.844106464,8.18,79,62,17,FLAT
Leah,WINTER,EVENING,5.21,161,183,174,6.617647059,7.83,131,226,-95,DOWNHILL
Leah,WINTER,EVENING,5.18,172,185,176,6.642066421,8.43,148,259,-111,DOWNHILL
Leah,SPRING,EVENING,5.15,165,186,174,6.79245283,8.24,138,226,-88,DOWNHILL
